"Year","est","lwr","upr","log_est","se","effort","replicate"
2013,5848.40050335014,4375.89078032055,7816.41731128414,8.67392348460958,0.147991545712304,0.3,9
2014,10595.7728210424,8591.65064404311,13067.3844091859,9.2682104100944,0.106973524225817,0.3,9
2015,11624.291561812,9303.36315320789,14524.2265714869,9.36085228767919,0.113635274060945,0.3,9
2016,11630.0670293663,9270.45269004141,14590.2755377688,9.36134900898418,0.11569677786332,0.3,9
2017,15191.8775044745,12299.0820237433,18765.0705691216,9.62851618929969,0.107775594146885,0.3,9
2018,14481.3950071513,11678.983093888,17956.2552379151,9.58062000157216,0.109733553553104,0.3,9
2019,5320.40185716488,3870.93938669566,7312.61151208233,8.57930411654398,0.162274218763275,0.3,9
2021,17940.5123215928,14743.5314436264,21830.7251279586,9.79481669270741,0.100132948805093,0.3,9
2022,25259.4167158311,20399.3903673844,31277.3137497352,10.1369543044198,0.109029559048712,0.3,9
2023,26311.0834008083,21431.8430817551,32301.1468068102,10.1777455514765,0.104651138274323,0.3,9
2003,18207.2182303212,15160.7660726766,21865.8340942275,9.8095734004991,0.0934237626432547,0.4,1
2004,11350.0953461475,9147.92516662732,14082.3915828046,9.33698142341589,0.11005255724432,0.4,1
2005,16988.6147037883,14185.9513488329,20344.989381168,9.74029867536695,0.091987028615145,0.4,1
2006,17539.6839226469,14409.0708488475,21350.4753591358,9.7722212453902,0.100312066769817,0.4,1
2007,16191.6934325051,13470.302140269,19462.8846095795,9.69225363863875,0.0938848572376333,0.4,1
2008,12118.9058930657,10038.6699311882,14630.2130712249,9.4025219826991,0.0960844570042983,0.4,1
2009,9842.58672724405,8155.26245880425,11879.0184831801,9.19447383428469,0.0959482610094935,0.4,1
2010,9613.34258223405,8011.83837262961,11534.9750338338,9.17090726482123,0.0929770867413802,0.4,1
2011,11148.2327055102,9288.99344382421,13379.6081575272,9.31903626257757,0.0930888457284936,0.4,1
2012,13166.753241797,10964.1920550311,15811.7798429863,9.48545023752584,0.0933998098048223,0.4,1
2013,10269.1097329888,8221.76790772547,12826.2699569853,9.23689561299073,0.113448551038159,0.4,1
2014,11778.816538744,9837.51399791532,14103.2093151573,9.3740579885547,0.0918892767095591,0.4,1
2015,13438.9027392242,11101.3933455242,16268.5981131497,9.50590896931753,0.0974931502713051,0.4,1
2016,17367.075111424,14478.0153478914,20832.6411236864,9.76233145768876,0.0928307173946706,0.4,1
2017,17421.91751185,14530.1111481361,20889.2558835411,9.76548431965577,0.0926067596090455,0.4,1
2018,17258.3128067103,14322.7508766581,20795.541547795,9.75604920822038,0.0951265876822308,0.4,1
2019,5381.76080165945,4116.60807234985,7035.73155793412,8.59077088616307,0.13673009730152,0.4,1
2021,26539.0941791692,22350.0542534297,31513.2800960753,10.1863741769032,0.0876496460001073,0.4,1
2022,32449.1416432087,27210.5390868166,38696.2856568751,10.3874292701093,0.0898330927673599,0.4,1
2023,28379.0633831979,23790.1119285463,33853.1924913383,10.2534069474632,0.0899922859356795,0.4,1
2003,20107.9680452355,16754.9412745985,24132.0081211625,9.90887143565443,0.0930746390627332,0.4,10
